worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=85.2 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=341.8 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
